filename,room_width_m,room_height_m,room_depth_m,src_x_m,src_y_m,src_z_m,mic_x_m,mic_y_m,mic_z_m,distance_m,RT60_s
rir_0000.wav,5.963877437301715,3.080304828823752,9.499518940224963,4.8105609582558015,6.665429244180812,0.9951921695905488,3.2047744430338763,5.028463321957766,0.5840316496275885,2.3296482000860848,0.5353670983310466
rir_0001.wav,6.555911637075817,3.929717130700596,9.079675237036584,5.390202651567316,4.649942530569315,3.0608913500004906,5.510364803484931,4.035686146797733,2.9906669993591777,0.6298264103549539,0.47513020193125133
rir_0002.wav,5.007132940785969,5.033115620721784,5.388887208607996,2.5296213057332797,3.3640183081765938,1.6176740480490943,1.9072535226067808,3.965499245134854,0.6685932821124051,1.2844747079132979,0.8922245245283206
rir_0003.wav,8.527563503582952,2.739561485220499,13.491439419160038,4.831060751743049,7.7781903244017965,1.6256266980951095,0.7469945388047933,4.484981800120137,2.032867728654283,5.262191983673354,1.7971962558446646
rir_0004.wav,11.467793272871193,4.325070257147124,8.811162108132438,8.666343749174839,3.050551363123177,2.548753466988159,10.619394022493976,5.674025510894052,1.1611012132506675,3.552829963766464,0.8940209060824743
rir_0005.wav,11.144250110096728,2.5065672151713225,14.20385023347959,3.134367999496265,5.267161614179071,1.7934598309800178,7.488481656423952,10.142683966330818,1.4621792487678653,6.545133365174947,0.44858814101541905
rir_0006.wav,14.845723795587357,4.396818799428999,6.334371896782456,6.993275492701885,3.4009062872501383,3.3774284652683666,13.34332351147146,0.5439410668532644,0.7377346317345197,7.446700185050649,0.535310400719675
rir_0007.wav,12.918411962443194,5.927579509252834,13.17951970160109,3.7980868364695866,7.242761490234488,3.7582565909669476,3.25797698839958,10.271339867721652,4.814886108041133,3.252763682304236,1.0525245692722323
rir_0008.wav,6.721232002267162,3.3369630842122753,4.113788698593441,5.668779462124073,1.9746950448826082,1.2340957031712785,5.584774888685005,2.037241036149917,1.4390305636101244,0.23014575035263915,1.7587235335952742
rir_0009.wav,12.151032411487456,4.5114037652336885,3.573422393800433,10.598807510661194,1.2304714693004735,2.54441984510589,1.3385291339454892,2.7557311934859055,2.3567074424981262,9.386927547743374,0.5992250524941717
